time,participant,order,category
0:02:56,participant12,1,0
0:02:57,participant12,1,0
0:02:58,participant12,1,0
0:03:02,participant12,1,0
0:03:03,participant12,1,0
0:03:06,participant12,1,0
0:03:08,participant12,1,0
0:03:11,participant12,1,0
0:03:13,participant12,1,0
0:03:16,participant12,1,0
0:03:18,participant12,1,0
0:03:20,participant12,1,0
0:03:21,participant12,1,0
0:03:22,participant12,1,0
0:03:25,participant12,1,0
0:03:27,participant12,1,0
0:03:28,participant12,1,0
0:03:29,participant12,1,0
0:03:32,participant12,1,0
0:03:32,participant12,1,0
0:03:37,participant12,1,0
0:03:41,participant12,1,0
0:03:48,participant12,1,0
0:03:53,participant12,1,0
0:03:54,participant12,1,0
0:03:55,participant12,1,0
0:03:57,participant12,1,0
0:03:58,participant12,1,0
0:03:59,participant12,1,0
0:04:00,participant12,1,0
0:04:02,participant12,1,0
0:04:04,participant12,1,0
0:04:05,participant12,1,0
0:04:05,participant12,1,0
0:04:08,participant12,1,0
0:04:09,participant12,1,0
0:04:10,participant12,1,0
0:04:11,participant12,1,0
0:04:14,participant12,1,0
0:04:19,participant12,1,0
0:04:20,participant12,1,0
0:04:21,participant12,1,0
0:04:22,participant12,1,0
0:04:23,participant12,1,0
0:04:25,participant12,1,0
0:04:26,participant12,1,0
0:04:28,participant12,1,0
0:04:30,participant12,1,0
0:04:38,participant12,1,0
0:04:39,participant12,1,1
0:04:39,participant12,1,1
0:04:41,participant12,1,0
0:04:43,participant12,1,0
0:04:44,participant12,1,0
0:04:47,participant12,1,0
0:04:50,participant12,1,0
0:04:51,participant12,1,0
0:04:55,participant12,1,0
0:05:00,participant12,1,0
0:05:03,participant12,1,0
0:05:03,participant12,1,0
0:05:07,participant12,1,0
0:05:08,participant12,1,0
0:05:12,participant12,1,0
0:05:17,participant12,1,0
0:05:22,participant12,1,0
0:05:23,participant12,1,0
0:05:26,participant12,1,0
0:05:27,participant12,1,0
0:05:27,participant12,1,0
0:05:28,participant12,1,0
0:05:36,participant12,1,0
0:05:49,participant12,1,0
0:05:53,participant12,1,1
0:05:59,participant12,1,0
0:06:00,participant12,1,0
0:06:03,participant12,1,0
0:06:11,participant12,1,0
0:06:14,participant12,1,0
0:06:17,participant12,1,0
0:06:20,participant12,1,0
0:06:24,participant12,1,0
0:06:24,participant12,1,0
0:06:27,participant12,1,0
0:06:30,participant12,1,0
0:06:31,participant12,1,0
0:06:33,participant12,1,0
0:06:34,participant12,1,0
0:06:40,participant12,1,0
0:06:53,participant12,1,0
0:06:57,participant12,1,0
0:07:00,participant12,1,0
0:07:05,participant12,1,0
0:07:10,participant12,1,0
0:07:13,participant12,1,0
0:07:21,participant12,1,0
0:07:23,participant12,1,0
0:07:24,participant12,1,0
0:07:25,participant12,1,0
0:07:28,participant12,1,0
0:07:30,participant12,1,0
0:07:33,participant12,1,0
0:07:35,participant12,1,0
0:07:40,participant12,1,0
0:07:41,participant12,1,0
0:07:46,participant12,1,0
0:07:48,participant12,1,0
0:07:52,participant12,1,0
0:07:56,participant12,1,0
0:07:59,participant12,1,0
0:08:01,participant12,1,0
0:08:04,participant12,1,0
0:08:06,participant12,1,0
0:08:08,participant12,1,0
0:08:12,participant12,1,1
0:08:13,participant12,1,1
0:08:21,participant12,1,1
0:08:24,participant12,1,1
0:08:29,participant12,1,0
0:08:32,participant12,1,0
0:08:33,participant12,1,0
0:08:33,participant12,1,0
0:08:35,participant12,1,0
0:08:36,participant12,1,0
0:08:37,participant12,1,0
0:08:41,participant12,1,0
0:08:44,participant12,1,0
0:08:44,participant12,1,0
0:08:48,participant12,1,0
0:08:51,participant12,1,0
0:08:54,participant12,1,0
0:08:54,participant12,1,0
0:08:55,participant12,1,0
0:08:56,participant12,1,0
0:08:58,participant12,1,1
0:09:01,participant12,1,0
0:09:03,participant12,1,0
0:09:12,participant12,1,0
0:09:13,participant12,1,0
0:09:14,participant12,1,0
0:09:16,participant12,1,0
0:09:17,participant12,1,0
0:09:19,participant12,1,0
0:09:22,participant12,1,0
0:09:24,participant12,1,0
0:09:27,participant12,1,0
0:09:30,participant12,1,0
0:09:38,participant12,1,0
0:09:44,participant12,1,0
0:09:51,participant12,1,0
0:09:52,participant12,1,0
0:09:55,participant12,1,0
0:09:56,participant12,1,0
0:09:57,participant12,1,0
0:00:02,participant12,2,0
0:00:02,participant12,2,0
0:00:07,participant12,2,0
0:00:10,participant12,2,0
0:00:12,participant12,2,0
0:00:16,participant12,2,0
0:00:21,participant12,2,0
0:00:23,participant12,2,0
0:00:25,participant12,2,0
0:00:30,participant12,2,0
0:00:31,participant12,2,0
0:00:33,participant12,2,0
0:00:35,participant12,2,0
0:00:38,participant12,2,0
0:00:46,participant12,2,0
0:00:49,participant12,2,0
0:00:51,participant12,2,0
0:00:52,participant12,2,0
0:00:57,participant12,2,0
0:00:59,participant12,2,0
0:01:01,participant12,2,0
0:01:07,participant12,2,0
0:01:13,participant12,2,0
0:01:16,participant12,2,0
0:01:19,participant12,2,0
0:01:22,participant12,2,0
0:01:32,participant12,2,0
0:01:36,participant12,2,0
0:01:46,participant12,2,0
