time,participant,order,category,comment_timestamp,participant_name,id,N_window,Prop_NA,Prop_Overlap,w_size_set
0:01:35,participant01,1,The others,95000000,participant_test_01,51,2,1,NA,1
0:01:38,participant01,1,The others,98000000,participant_test_01,52,2,1,NA,1
0:01:39,participant01,1,Appropriate,99000000,participant_test_01,53,2,1,NA,1
0:01:40,participant01,1,The others,100000000,participant_test_01,54,2,1,NA,1
0:01:43,participant01,1,The others,103000000,participant_test_01,55,2,1,NA,1
0:01:44,participant01,1,The others,104000000,participant_test_01,56,2,1,NA,1
0:01:45,participant01,1,The others,105000000,participant_test_01,57,2,1,NA,1
0:01:47,participant01,1,The others,107000000,participant_test_01,58,2,1,NA,1
0:01:49,participant01,1,The others,109000000,participant_test_01,59,2,1,NA,1
0:01:50,participant01,1,The others,110000000,participant_test_01,60,2,1,NA,1
0:01:51,participant01,1,The others,111000000,participant_test_01,61,2,1,NA,1
0:01:56,participant01,1,Appropriate,116000000,participant_test_01,62,2,1,NA,1
0:01:58,participant01,1,The others,118000000,participant_test_01,63,2,1,NA,1
0:02:01,participant01,1,The others,121000000,participant_test_01,64,2,1,NA,1
0:02:04,participant01,1,Appropriate,124000000,participant_test_01,65,2,1,NA,1
0:02:08,participant01,1,The others,128000000,participant_test_01,66,2,1,NA,1
0:02:10,participant01,1,The others,130000000,participant_test_01,67,2,1,NA,1
0:02:13,participant01,1,The others,133000000,participant_test_01,68,2,1,NA,1
0:02:15,participant01,1,The others,135000000,participant_test_01,69,2,1,NA,1
0:02:18,participant01,1,The others,138000000,participant_test_01,70,2,1,NA,1
0:02:19,participant01,1,Appropriate,139000000,participant_test_01,71,2,1,NA,1
0:02:20,participant01,1,The others,140000000,participant_test_01,72,2,1,NA,1
0:02:22,participant01,1,The others,142000000,participant_test_01,73,2,1,NA,1
0:02:23,participant01,1,The others,143000000,participant_test_01,74,2,1,NA,1
0:02:27,participant01,1,The others,147000000,participant_test_01,75,2,0,1,1
0:02:29,participant01,1,The others,149000000,participant_test_01,76,2,1,NA,1
0:02:32,participant01,1,The others,152000000,participant_test_01,77,2,1,NA,1
0:02:34,participant01,1,The others,154000000,participant_test_01,78,2,1,NA,1
0:02:35,participant01,1,The others,155000000,participant_test_01,79,2,1,NA,1
0:02:37,participant01,1,The others,157000000,participant_test_01,80,2,1,NA,1
0:02:38,participant01,1,The others,158000000,participant_test_01,81,2,1,NA,1
0:02:41,participant01,1,The others,161000000,participant_test_01,82,2,1,NA,1
0:02:45,participant01,1,The others,165000000,participant_test_01,83,2,1,NA,1
0:02:49,participant01,1,The others,169000000,participant_test_01,84,2,1,NA,1
0:02:52,participant01,1,The others,172000000,participant_test_01,85,2,1,NA,1
0:02:53,participant01,1,The others,173000000,participant_test_01,86,2,1,NA,1
